Time(milliseconds),Start Range (Miles),End Range (Miles),High Power (Boolean),Number of Pules (Multi-Pulse),width (degrees),Azimuth(Degrees),Elevation (Degrees)
144.2966894,0,60,1,1,3,2.5,257.25
144.9408711,0,60,1,15,3,2.5,260
145.5850527,0,60,1,30,3,2.5,262.75
146.2292344,0,60,1,1,3,2.5,265.5
146.873416,0,60,1,16,3,2.5,268.25
147.5175977,0,60,1,1,3,2.5,271
148.1617793,0,60,1,1,3,2.5,273.75
148.805961,0,60,1,1,3,2.5,276.5
149.4501426,0,60,1,1,3,2.5,279.25
150.0943243,0,60,1,1,3,2.5,282
150.7385059,0,60,1,1,3,2.5,284.75
151.3826876,0,60,1,1,3,2.5,287.5
152.0268692,0,60,1,1,3,2.5,290.25
152.6710509,0,60,1,1,3,2.5,293
153.3152325,0,60,1,1,3,2.5,295.75
153.9594141,0,60,1,1,3,2.5,298.5
154.6035958,0,60,1,1,3,2.5,301.25
155.2477774,0,60,1,1,3,2.5,304
155.8919591,0,60,1,3,3,2.5,306.75
156.5361407,0,60,1,4,3,2.5,309.5
157.1803224,0,60,1,1,3,2.5,312.25
157.824504,0,60,1,1,3,2.5,315
158.4686857,0,60,1,26,3,2.5,317.75
159.1128673,0,60,1,25,3,2.5,320.5
159.757049,0,60,1,7,3,2.5,323.25
160.4012306,0,60,1,29,3,2.5,326
161.0454123,0,60,1,1,3,2.5,328.75
161.6895939,0,60,1,15,3,2.5,331.5
162.3337756,0,60,1,1,3,2.5,334.25
162.9779572,0,60,1,1,3,2.5,337
163.6221389,0,60,1,6,3,2.5,339.75
164.2663205,0,60,1,1,3,2.5,342.5
164.9105022,0,60,1,1,3,2.5,345.25
165.5546838,0,60,1,22,3,2.5,348
166.1988655,0,60,1,1,3,2.5,350.75
166.8430471,0,60,1,1,3,2.5,353.5
167.4872288,0,60,1,12,3,2.5,356.25
168.1314104,0,60,1,1,3,2.5,359
168.7755921,0,60,1,10,3,3.75,1.75
169.4197737,0,60,1,28,3,3.75,4.5
170.0639554,0,60,1,1,3,3.75,7.25
170.708137,0,60,1,1,3,3.75,10
171.3523187,0,60,1,1,3,3.75,12.75
171.9965003,0,60,1,1,3,3.75,15.5
172.640682,0,60,1,27,3,3.75,18.25
173.2848636,0,60,1,1,3,3.75,21
173.9290453,0,60,1,1,3,3.75,23.75
174.5732269,0,60,1,2,3,3.75,26.5
175.2174086,0,60,1,1,3,3.75,29.25
175.8615902,0,60,1,1,3,3.75,32
176.5057719,0,60,1,1,3,3.75,34.75
177.1499535,0,60,1,1,3,3.75,37.5
177.7941352,0,60,1,1,3,3.75,40.25
178.4383168,0,60,1,13,3,3.75,43
179.0824985,0,60,1,1,3,3.75,45.75
179.7266801,0,60,1,1,3,3.75,48.5
180.3708618,0,60,1,22,3,3.75,51.25
181.0150434,0,60,1,1,3,3.75,54
181.6592251,0,60,1,1,3,3.75,56.75
182.3034067,0,60,1,1,3,3.75,59.5
182.9475884,0,60,1,25,3,3.75,62.25
183.59177,0,60,1,1,3,3.75,65
184.2359517,0,60,1,1,3,3.75,67.75
184.8801333,0,60,1,24,3,3.75,70.5
185.524315,0,60,1,1,3,3.75,73.25
186.1684966,0,60,1,1,3,3.75,76
186.8126783,0,60,1,1,3,3.75,78.75
187.4568599,0,60,1,31,3,3.75,81.5
188.1010416,0,60,1,1,3,3.75,84.25
188.7452232,0,60,1,31,3,3.75,87
189.3894049,0,60,1,1,3,3.75,89.75
190.0335865,0,60,1,20,3,3.75,92.5
190.6777682,0,60,1,1,3,3.75,95.25
191.3219498,0,60,1,20,3,3.75,98
191.9661314,0,60,1,2,3,3.75,100.75
192.6103131,0,60,1,1,3,3.75,103.5
193.2544947,0,60,1,1,3,3.75,106.25
193.8986764,0,60,1,7,3,3.75,109
194.542858,0,60,1,1,3,3.75,111.75
195.1870397,0,60,1,1,3,3.75,114.5
195.8312213,0,60,1,1,3,3.75,117.25
196.475403,0,60,1,1,3,3.75,120
197.1195846,0,60,1,1,3,3.75,122.75
197.7637663,0,60,1,1,3,3.75,125.5
198.4079479,0,60,1,30,3,3.75,128.25
199.0521296,0,60,1,1,3,3.75,131
199.6963112,0,60,1,1,3,3.75,133.75
200.3404929,0,60,1,5,3,3.75,136.5
200.9846745,0,60,1,1,3,3.75,139.25
201.6288562,0,60,1,32,3,3.75,142
202.2730378,0,60,1,1,3,3.75,144.75
202.9172195,0,60,1,1,3,3.75,147.5
203.5614011,0,60,1,2,3,3.75,150.25
204.2055828,0,60,1,28,3,3.75,153
204.8497644,0,60,1,1,3,3.75,155.75
205.4939461,0,60,1,1,3,3.75,158.5
206.1381277,0,60,1,1,3,3.75,161.25
206.7823094,0,60,1,1,3,3.75,164
207.426491,0,60,1,1,3,3.75,166.75
208.0706727,0,60,1,1,3,3.75,169.5
208.7148543,0,60,1,1,3,3.75,172.25
209.359036,0,60,1,1,3,3.75,175
210.0032176,0,60,1,23,3,3.75,177.75
210.6473993,0,60,1,13,3,3.75,180.5
211.2915809,0,60,1,1,3,3.75,183.25
211.9357626,0,60,1,1,3,3.75,186
212.5799442,0,60,1,1,3,3.75,188.75
213.2241259,0,60,1,1,3,3.75,191.5
213.8683075,0,60,1,1,3,3.75,194.25
214.5124892,0,60,1,25,3,3.75,197
215.1566708,0,60,1,1,3,3.75,199.75
215.8008525,0,60,1,1,3,3.75,202.5
216.4450341,0,60,1,1,3,3.75,205.25
217.0892158,0,60,1,1,3,3.75,208
217.7333974,0,60,1,1,3,3.75,210.75
218.3775791,0,60,1,9,3,3.75,213.5
219.0217607,0,60,1,1,3,3.75,216.25
219.6659424,0,60,1,1,3,3.75,219
220.310124,0,60,1,1,3,3.75,221.75
220.9543057,0,60,1,25,3,3.75,224.5
221.5984873,0,60,1,28,3,3.75,227.25
222.242669,0,60,1,1,3,3.75,230
222.8868506,0,60,1,28,3,3.75,232.75
223.5310323,0,60,1,1,3,3.75,235.5
224.1752139,0,60,1,1,3,3.75,238.25
224.8193956,0,60,1,17,3,3.75,241
225.4635772,0,60,1,4,3,3.75,243.75
226.1077589,0,60,1,1,3,3.75,246.5
226.7519405,0,60,1,29,3,3.75,249.25
227.3961222,0,60,1,1,3,3.75,252
228.0403038,0,60,1,1,3,3.75,254.75
228.6844855,0,60,1,1,3,3.75,257.5
229.3286671,0,60,1,5,3,3.75,260.25
229.9728487,0,60,1,1,3,3.75,263
230.6170304,0,60,1,1,3,3.75,265.75
231.261212,0,60,1,21,3,3.75,268.5
231.9053937,0,60,1,1,3,3.75,271.25
232.5495753,0,60,1,7,3,3.75,274
233.193757,0,60,1,2,3,3.75,276.75
233.8379386,0,60,1,20,3,3.75,279.5
234.4821203,0,60,1,16,3,3.75,282.25
235.1263019,0,60,1,1,3,3.75,285
235.7704836,0,60,1,1,3,3.75,287.75
236.4146652,0,60,1,1,3,3.75,290.5
237.0588469,0,60,1,1,3,3.75,293.25
237.7030285,0,60,1,1,3,3.75,296
238.3472102,0,60,1,28,3,3.75,298.75
238.9913918,0,60,1,22,3,3.75,301.5
239.6355735,0,60,1,1,3,3.75,304.25
240.2797551,0,60,1,1,3,3.75,307
240.9239368,0,60,1,1,3,3.75,309.75
241.5681184,0,60,1,14,3,3.75,312.5
242.2123001,0,60,1,15,3,3.75,315.25
242.8564817,0,60,1,1,3,3.75,318
243.5006634,0,60,1,20,3,3.75,320.75
244.144845,0,60,1,31,3,3.75,323.5
244.7890267,0,60,1,17,3,3.75,326.25
245.4332083,0,60,1,1,3,3.75,329
246.07739,0,60,1,1,3,3.75,331.75
246.7215716,0,60,1,1,3,3.75,334.5
247.3657533,0,60,1,14,3,3.75,337.25
248.0099349,0,60,1,1,3,3.75,340
248.6541166,0,60,1,12,3,3.75,342.75
249.2982982,0,60,1,1,3,3.75,345.5
249.9424799,0,60,1,1,3,3.75,348.25
250.5866615,0,60,1,27,3,3.75,351
251.2308432,0,60,1,1,3,3.75,353.75
251.8750248,0,60,1,1,3,3.75,356.5
252.5192065,0,60,1,5,3,3.75,359.25
253.1633881,0,60,1,1,3,5,2
253.8075698,0,60,1,1,3,5,4.75
254.4517514,0,60,1,16,3,5,7.5
255.0959331,0,60,1,1,3,5,10.25
255.7401147,0,60,1,1,3,5,13
256.3842964,0,60,1,1,3,5,15.75
257.028478,0,60,1,1,3,5,18.5
257.6726597,0,60,1,1,3,5,21.25
258.3168413,0,60,1,1,3,5,24
258.961023,0,60,1,1,3,5,26.75
259.6052046,0,60,1,16,3,5,29.5
260.2493863,0,60,1,1,3,5,32.25
260.8935679,0,60,1,1,3,5,35
261.5377496,0,60,1,1,3,5,37.75
262.1819312,0,60,1,3,3,5,40.5
262.8261129,0,60,1,1,3,5,43.25
263.4702945,0,60,1,28,3,5,46
264.1144762,0,60,1,30,3,5,48.75
264.7586578,0,60,1,1,3,5,51.5
265.4028395,0,60,1,15,3,5,54.25
266.0470211,0,60,1,3,3,5,57
266.6912028,0,60,1,10,3,5,59.75
267.3353844,0,60,1,1,3,5,62.5
267.9795661,0,60,1,1,3,5,65.25
268.6237477,0,60,1,1,3,5,68
269.2679293,0,60,1,1,3,5,70.75
269.912111,0,60,1,31,3,5,73.5
270.5562926,0,60,1,1,3,5,76.25
271.2004743,0,60,1,1,3,5,79
271.8446559,0,60,1,1,3,5,81.75
272.4888376,0,60,1,17,3,5,84.5
273.1330192,0,60,1,1,3,5,87.25
273.7772009,0,60,1,19,3,5,90
274.4213825,0,60,1,1,3,5,92.75
275.0655642,0,60,1,1,3,5,95.5
275.7097458,0,60,1,18,3,5,98.25
276.3539275,0,60,1,6,3,5,101
276.9981091,0,60,1,26,3,5,103.75
277.6422908,0,60,1,1,3,5,106.5
278.2864724,0,60,1,1,3,5,109.25
278.9306541,0,60,1,14,3,5,112
279.5748357,0,60,1,1,3,5,114.75
280.2190174,0,60,1,1,3,5,117.5
280.863199,0,60,1,1,3,5,120.25
281.5073807,0,60,1,1,3,5,123
282.1515623,0,60,1,1,3,5,125.75
282.795744,0,60,1,17,3,5,128.5
283.4399256,0,60,1,1,3,5,131.25
284.0841073,0,60,1,8,3,5,134
284.7282889,0,60,1,15,3,5,136.75
285.3724706,0,60,1,11,3,5,139.5
286.0166522,0,60,1,12,3,5,142.25
286.6608339,0,60,1,8,3,5,145
287.3050155,0,60,1,1,3,5,147.75
287.9491972,0,60,1,1,3,5,150.5
288.5933788,0,60,1,1,3,5,153.25
289.2375605,0,60,1,25,3,5,156
289.8817421,0,60,1,16,3,5,158.75
290.5259238,0,60,1,11,3,5,161.5
291.1701054,0,60,1,1,3,5,164.25
291.8142871,0,60,1,17,3,5,167
292.4584687,0,60,1,21,3,5,169.75
293.1026504,0,60,1,1,3,5,172.5
293.746832,0,60,1,30,3,5,175.25
294.3910137,0,60,1,1,3,5,178
295.0351953,0,60,1,1,3,5,180.75
295.679377,0,60,1,1,3,5,183.5
296.3235586,0,60,1,1,3,5,186.25
296.9677403,0,60,1,1,3,5,189
297.6119219,0,60,1,30,3,5,191.75
298.2561036,0,60,1,1,3,5,194.5
298.9002852,0,60,1,1,3,5,197.25
299.5444669,0,60,1,29,3,5,200
300.1886485,0,60,1,1,3,5,202.75
300.8328302,0,60,1,1,3,5,205.5
301.4770118,0,60,1,1,3,5,208.25
302.1211935,0,60,1,1,3,5,211
302.7653751,0,60,1,1,3,5,213.75
303.4095568,0,60,1,1,3,5,216.5
304.0537384,0,60,1,25,3,5,219.25
304.6979201,0,60,1,1,3,5,222
305.3421017,0,60,1,26,3,5,224.75
305.9862834,0,60,1,24,3,5,227.5
306.630465,0,60,1,25,3,5,230.25
307.2746466,0,60,1,1,3,5,233
307.9188283,0,60,1,1,3,5,235.75
308.5630099,0,60,1,1,3,5,238.5
309.2071916,0,60,1,10,3,5,241.25
309.8513732,0,60,1,13,3,5,244
310.4955549,0,60,1,1,3,5,246.75
311.1397365,0,60,1,32,3,5,249.5
311.7839182,0,60,1,1,3,5,252.25
312.4280998,0,60,1,1,3,5,255
313.0722815,0,60,1,13,3,5,257.75
313.7164631,0,60,1,1,3,5,260.5
314.3606448,0,60,1,1,3,5,263.25
315.0048264,0,60,1,1,3,5,266
315.6490081,0,60,1,1,3,5,268.75
316.2931897,0,60,1,1,3,5,271.5
316.9373714,0,60,1,1,3,5,274.25
317.581553,0,60,1,1,3,5,277
318.2257347,0,60,1,1,3,5,279.75
318.8699163,0,60,1,1,3,5,282.5
319.514098,0,60,1,1,3,5,285.25
320.1582796,0,60,1,12,3,5,288
320.8024613,0,60,1,1,3,5,290.75
321.4466429,0,60,1,1,3,5,293.5
322.0908246,0,60,1,1,3,5,296.25
322.7350062,0,60,1,19,3,5,299
323.3791879,0,60,1,1,3,5,301.75
324.0233695,0,60,1,14,3,5,304.5
324.6675512,0,60,1,16,3,5,307.25
325.3117328,0,60,1,1,3,5,310
325.9559145,0,60,1,1,3,5,312.75
326.6000961,0,60,1,1,3,5,315.5
327.2442778,0,60,1,28,3,5,318.25
327.8884594,0,60,1,7,3,5,321
328.5326411,0,60,1,13,3,5,323.75
329.1768227,0,60,1,26,3,5,326.5
329.8210044,0,60,1,1,3,5,329.25
330.465186,0,60,1,1,3,5,332
331.1093677,0,60,1,1,3,5,334.75
331.7535493,0,60,1,4,3,5,337.5
332.397731,0,60,1,3,3,5,340.25
333.0419126,0,60,1,1,3,5,343
333.6860943,0,60,1,9,3,5,345.75
334.3302759,0,60,1,11,3,5,348.5
334.9744576,0,60,1,1,3,5,351.25
335.6186392,0,60,1,1,3,5,354
336.2628209,0,60,1,1,3,5,356.75
336.9070025,0,60,1,1,3,5,359.5
337.5511842,0,200,1,1,3,6.25,2.25
339.6984563,0,200,1,1,3,6.25,5
341.8457285,0,200,1,1,3,6.25,7.75
343.9930007,0,200,1,1,3,6.25,10.5
346.1402728,0,200,1,27,3,6.25,13.25
348.287545,0,200,1,19,3,6.25,16
350.4348171,0,200,1,3,3,6.25,18.75
352.5820893,0,200,1,1,3,6.25,21.5
354.7293615,0,200,1,1,3,6.25,24.25
356.8766336,0,200,1,15,3,6.25,27
359.0239058,0,200,1,1,3,6.25,29.75
361.171178,0,200,1,19,3,6.25,32.5
363.3184501,0,200,1,15,3,6.25,35.25
365.4657223,0,200,1,1,3,6.25,38
367.6129945,0,200,1,5,3,6.25,40.75
369.7602666,0,200,1,8,3,6.25,43.5
371.9075388,0,200,1,3,3,6.25,46.25
374.0548109,0,200,1,1,3,6.25,49
376.2020831,0,200,1,9,3,6.25,51.75
378.3493553,0,200,1,1,3,6.25,54.5
380.4966274,0,200,1,1,3,6.25,57.25
382.6438996,0,200,1,1,3,6.25,60
384.7911718,0,200,1,1,3,6.25,62.75
386.9384439,0,200,1,9,3,6.25,65.5
389.0857161,0,200,1,1,3,6.25,68.25
391.2329883,0,200,1,1,3,6.25,71
393.3802604,0,200,1,12,3,6.25,73.75
395.5275326,0,200,1,1,3,6.25,76.5
397.6748047,0,200,1,5,3,6.25,79.25
399.8220769,0,200,1,24,3,6.25,82
401.9693491,0,200,1,28,3,6.25,84.75
404.1166212,0,200,1,17,3,6.25,87.5
406.2638934,0,200,1,13,3,6.25,90.25
408.4111656,0,200,1,1,3,6.25,93
410.5584377,0,200,1,1,3,6.25,95.75
412.7057099,0,200,1,1,3,6.25,98.5
414.8529821,0,200,1,1,3,6.25,101.25
417.0002542,0,200,1,1,3,6.25,104
419.1475264,0,200,1,1,3,6.25,106.75
421.2947986,0,200,1,1,3,6.25,109.5
423.4420707,0,200,1,1,3,6.25,112.25
425.5893429,0,200,1,11,3,6.25,115
427.736615,0,200,1,1,3,6.25,117.75
429.8838872,0,200,1,1,3,6.25,120.5
432.0311594,0,200,1,16,3,6.25,123.25
434.1784315,0,200,1,29,3,6.25,126
436.3257037,0,200,1,1,3,6.25,128.75
438.4729759,0,200,1,1,3,6.25,131.5
440.620248,0,200,1,1,3,6.25,134.25
442.7675202,0,200,1,1,3,6.25,137
444.9147924,0,200,1,1,3,6.25,139.75
447.0620645,0,200,1,13,3,6.25,142.5
449.2093367,0,200,1,29,3,6.25,145.25
451.3566088,0,200,1,1,3,6.25,148
453.503881,0,200,1,5,3,6.25,150.75
455.6511532,0,200,1,1,3,6.25,153.5
457.7984253,0,200,1,1,3,6.25,156.25
459.9456975,0,200,1,1,3,6.25,159
462.0929697,0,200,1,31,3,6.25,161.75
464.2402418,0,200,1,11,3,6.25,164.5
466.387514,0,200,1,12,3,6.25,167.25
468.5347862,0,200,1,1,3,6.25,170
470.6820583,0,200,1,1,3,6.25,172.75
472.8293305,0,200,1,1,3,6.25,175.5
474.9766026,0,200,1,1,3,6.25,178.25
477.1238748,0,200,1,20,3,6.25,181
479.271147,0,200,1,15,3,6.25,183.75
481.4184191,0,200,1,1,3,6.25,186.5
483.5656913,0,200,1,22,3,6.25,189.25
485.7129635,0,200,1,1,3,6.25,192
487.8602356,0,200,1,1,3,6.25,194.75
490.0075078,0,200,1,5,3,6.25,197.5
492.15478,0,200,1,1,3,6.25,200.25
494.3020521,0,200,1,1,3,6.25,203
496.4493243,0,200,1,1,3,6.25,205.75
498.5965964,0,200,1,1,3,6.25,208.5
500.7438686,0,200,1,1,3,6.25,211.25
502.8911408,0,200,1,14,3,6.25,214
